Processed_Text,Encoded_Label
emma jane austen volume chapter emma woodhouse handsome clever rich comfortable home happy disposition seemed unite best blessing existence lived nearly twentyone year world little distress vex,0
wa youngest two daughter affectionate indulgent father consequence sister marriage mistress house early period,0
mother died long ago indistinct remembrance caress place supplied excellent woman governess fallen little short mother affection,0
sixteen year miss taylor mr,1
woodhouses family less governess friend fond daughter particularly emma,0
wa intimacy sister,1
even miss taylor ceased hold nominal office governess mildness temper hardly allowed impose restraint shadow authority long passed away living together friend friend mutually attached emma liked highly esteeming miss taylor judgment directed chiefly,0
real evil indeed emmas situation power rather much way disposition think little well disadvantage threatened alloy many enjoyment,0
danger however wa present unperceived mean rank misfortune,1
sorrow camea gentle sorrowbut shape disagreeable consciousness,1
miss taylor married,1
wa miss taylor loss first brought grief,1
wa weddingday beloved friend emma first sat mournful thought continuance,0
wedding bridepeople gone father left dine together prospect third cheer long evening,0
father composed sleep dinner usual sit think lost,1
event every promise happiness friend,1
mr,1
weston wa man unexceptionable character easy fortune suitable age pleasant manner wa satisfaction considering selfdenying generous friendship always wished promoted match wa black morning work,0
want miss taylor would felt every hour every day,0
recalled past kindnessthe kindness affection sixteen yearshow taught played five year oldhow devoted power attach amuse healthand nursed various illness childhood,0
large debt gratitude wa owing intercourse last seven year equal footing perfect unreserve soon followed isabella marriage left wa yet dearer tenderer recollection,0
friend companion possessed intelligent wellinformed useful gentle knowing way family interested concern peculiarly interested every pleasure every scheme hersone could speak every thought arose affection could never find fault,0
wa bear changeit wa true friend wa going half mile emma wa aware great must difference mr,0
weston half mile miss taylor house advantage natural domestic wa great danger suffering intellectual solitude,0
dearly loved father wa companion,1
could meet conversation rational playful,1
evil actual disparity age mr,1
woodhouse married early wa much increased constitution habit valetudinarian life without activity mind body wa much older man way year though everywhere beloved friendliness heart amiable temper talent could recommended time,0
sister though comparatively little removed matrimony settled london sixteen mile wa much beyond daily reach many long october november evening must struggled hartfield christmas brought next visit isabella husband little child fill house give pleasant society,0
highbury large populous village almost amounting town hartfield spite separate lawn shrubbery name really belong afforded equal,0
woodhouses first consequence,1
looked,1
